"Products Without Price","Produtos sem Preço"
"Quotes","Orçamentos"
"You have no items in your quotations.","Você não possui itens em seu orçamentos."
"My Quotations","Meus Orçamentos"
"Quotation","Orçamento"
"Quotations","Orçamentos"
"Quotations Sharing","Compartilhar orçamento"
"%1's Quotations","%1's Orçamentos"
"Page not found.","Página não encontrada."
"We can't specify a product.","Não conseguimos especificar um produto"
"We can't add the item to Quotations right now: %1.","Não conseguimos adicionar o item ao Orçamento, agora: %1."
"We can't add the item to Quotations right now.","Não conseguimos adicionar o item ao Orçamento neste momento."
"You added %1 to your shopping cart.","Você adicionou %1 ao seu carrinho."
"This product(s) is out of stock.","Este(s) produto(s) está(am) fora de estoque."
"We can't add the item to the cart right now.","Não conseguimos adicionar o item ao seu carrinho neste momento."
"We can't load the Quotations item right now.","Não conseguimos carregar o(os) item(ns) do Orçamento neste momento."
"We can't configure the product right now.","Não conseguimos configurar o produto."
"The requested cart item doesn't exist.","O item requisitado do carrinho não existe."
"%1 has been moved to your quotation.","%1 foi movido para seu orçamento."
"We can't move the item to the quotation.","Não conseguimops mover o item para o seu orçamento."
"We can't delete the item from Quotations right now because of an error: %1.","We can't delete the item from Quotations right now because of an error: %1."
"We can't delete the item from the Quotations right now.","We can't delete the item from the Quotations right now."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Please enter an email address.","Please enter an email address."
"This quotation can be shared %1 more times.","This quotation can be shared %1 more times."
"Please enter a valid email address.","Please enter a valid email address."
"Your quotation has been shared.","Your quotation has been shared."
"We can't delete item from Quotations right now.","We can't delete item from Quotations right now."
"Can't save description %1","Can't save description %1"
"Can't update quotation","Can't update quotation"
"%1 has been updated in your Quotations.","%1 has been updated in your Quotations."
"We can't update your Quotations right now.","We can't update your Quotations right now."
"The requested Quotations doesn't exist.","The requested Quotations doesn't exist."
"We can't create the Quotations right now.","We can't create the Quotations right now."
"%1 items","%1 items"
"1 item","1 item"
Comment,Comment
"Display number of items in quotation","Display number of items in quotation"
"Display item quantities","Display item quantities"
"An item option with code %1 already exists.","An item option with code %1 already exists."
"We can't specify a quotation.","We can't specify a quotation."
"Cannot specify product.","Cannot specify product."
"Product is not salable.","Product is not salable."
"Invalid item option format.","Invalid item option format."
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Quotations right now.","We can't update the Quotations right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
Comment:,Comment:
"We cannot retrieve the Quotations.","Não conseguimos retornar o(s) Orçamento(s)."
"%1's Quotation","%1's Quotation"
"We can't specify a quotation item.","We can't specify a quotation item."
"The product does not exist.","The product does not exist."
"Test Phrase","Test Phrase"
message,message
Message,Message
error-message,error-message
LocalizedException,LocalizedException
"Product Exception.","Product Exception."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Are you sure you want to remove this item?"
"Share Quotations","Compartilhar Orçamentos"
"Share Quotation","Compartilhar Orçamento"
"Add All to Cart","Add Tudo ao Carrinho"
"Update Quotations","Atualizar Orçamentos"
"Update Quotation","Atualizar Orçamento"
"Move to Quotation","Mover para Orçamento"
"Add to Quotations","Add para Orçamentos"
"Add to Quotation","Add ao Orçamento"
"View Product","Ver Produto"
Qty,Qtd
"Add to Cart","Add para Carrinho"
Availability,Disponibilidade
"In stock","Em Estoque"
"Out of stock","Fora de Estoque"
Edit,Editar
"Remove Item","Remover Item"
"Quotation Items","Itens do Orçamento"
"Add to Compare","Add a Comparação"
"This Quotations has no Items","Este orçamento não possui itens"
"%1 has been added to your Quotations.","%1 foi adicionado ao seu orçamento."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">aqui</a> para continuar a navegar."
"See Details","See Details"
"Options Details","Options Details"
"RSS link to %1's quotation","RSS link to %1's quotation"
"RSS Feed","RSS Feed"
Product,Product
Back,Back
"Quotations is empty now.","Quotations is empty now."
"* Required Fields","* Required Fields"
"Sharing Information","Sharing Information"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Check here to link an RSS feed to your Quotations.","Check here to link an RSS feed to your Quotations."
"Last Added Items","Last Added Items"
"Remove This Item","Remove This Item"
"Go to Quotations","Go to Quotations"
"You have no items in your quotation.","Você não possui itens em seu orçamento."
"Take a look at %customer_name's Quotations","Take a look at %customer_name's Quotations"
"%customer_name wants to share this Quotations from %store_name with you:","%customer_name wants to share this Quotations from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Quotations items","Ver todos os itens do Orçamento"
"Quotations Section","Seção do Orçamento"
"Share Options","Share Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","Email Text Length Limit"
"General Options","General Options"
Enabled,Enabled
"My Quotations Link","My Quotations Link"
"Display Quotations Summary","Display Quotations Summary"
"Enable RSS","Enable RSS"
"No Items Found","No Items Found"
"Product Name","Product Name"
"User Description","User Description"
Quantity,Quantity
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Quotations","Days in Quotations"
Action,Action
Configure,Configure
Delete,Delete
"Product Details and Comment","Product Details and Comment"
"%1 has been added to your Quotation.","%1 foi adicionado ao seu orçamento."
"Your quotation has been shared.","Seu orçamento foi compartilhado."
"Your quotation was requested. Wait for our team to return.","Seu orçamento foi solicitado. Aguarde o retorno de nossa Equipe!"
"Request Quotation","Solicitar Orçamento"
"This quotation can be requested %1 more times.","Este orçamento não pode ser solicitado mais do que %1 vez."
"%1 asks for the quotation of the following products:","%1 solicita orçamento para os seguintes produtos:"
"View all Quotation items","Ver todos os itens do orçamento"
"Quotation (SendQuote)","Orçamento (SendQuote)"
"My Quotations Link","Link Meus Orçamentos"
"Display Quotation Summary","Mostrar Detalhes Orçamento"
"Last Price by","Último Preço por"
"Unit Custom Price","Preço Unitário Orçado"
"Store ID","ID da Loja"
"Product ID","Identificador/SKU"
"Waiting Quotation","Aguardando Quotação"
"Items Quotation","Itens do Orçamento"
"Quotation & Account Information","Orçamento e Informações da Conta"
"View Quotation","Ver Orçamento"
"Waiting answer","Aguardando Resposta"
"Answered","Respondido"
"In quotation","Em Quotação"
"Varnished,"Vencido"
"Items Qty","Qtd Itens"
"Quotation #","Orçamento #"